Maternal Atrazine Exposure,SVL at Hatching,Days to Hatching,Stage at Hatching,Stage at Death,Days to Death
0,3.66360873,2.536507937,20.74246032,20.675,4.533333333
0.1,4.203127778,2.839285714,21.29047619,21.625,6.1
1,3.867837302,2.75515873,21.13793651,19.61,4.192222222
10,4.054453175,2.777380952,21.14007937,21.57875458,5.836996337
100,3.805922222,2.850396825,21.17103175,22.02888889,6.047777778
